text;label
Listen to #NBAwards Winner @user interview on @user ;2
Pelosi should go no matter ;0
Used Google earth with a VR headset and #jeez ;1
Kelly Anne Conway is here reporting the wall is a glorious 10 meters high, while Ben Carson counters that 'meters' arent even a real thing ;2
I'm doing a speech on animal testing and it is so fucking horrible oh my god ;0
@user She will be hearing my voice on her hesitation to back HRC. I am a MA voter. @user @user @user ;1
Grayson Allen & Lonzo Ball the best players in college basketball. ;2
@user Coward... well... why doesn't Poroshenko or Avakov or Saakasjvili travel to Crimea? ;0
President-elect @user has a conflict of interest in Dakota Access Pipeline. #IStandWithStandingRock ;1
FINALLY watching Love & Happiness!!!  This country is going to miss your family's class, wisdom, love, and patience. #ThankYouObama ;2
-- @user your statement for Mitt to apologize is not a qualifier for him as SOS Trump's transition is ASKING its an Insult. ;0
I'm crying over Richard and Leonard Cohen 😭😭😭 #GilmoreGirlsRevival ;1
#MPN #OneDirection#MtvStarsNiallHoran JESUS😍😍😍😍😍 ;2
@user last thing @user needs is a self-promoting $ laundering medicare fraud scammer, voter fraud.. rese… ;0
Join us today JBR The Walk at 5:30 for a special performance for the Orange Campaign#SpeakUpae #OrangeTheWorld … ;1
If you wanna have some seasonal fun & #teachecon #Hatchimals are today's Cabbage Patch Kids & Tickle Me Elmo Christ… ;2
This reminds me of that time I got attacked by Alt-rightists: ;0
"On a place of Poroshenko I would gave Saakashvili a medal ""For the liberation of Odessa..."". ";1
Look at Kierra doing her good singing and growling today. #ThankYouObama ;2
Taylor Shit doing the #mannequinchallenge here in the great state of Rhode Island means that the mannequin challenge is #cancelled. ;0
MY LIFE by Fidel Castrohttps://t.co/2hGT23JyGz#FidelCastro #books #MyLife ;1
#ThisIsUs = my new fav series 👊🏾 ;2
"""Are we out of touch, sexually deviant, decadent dilettantes who can't own up to our misrule?No it is the deplora… ";0
First Look at Neighbors 2 with Zac Efron Shirtless! (PHOTO)... #zacefron ;1
It's incredible how many people are born in November... if u think about it, that means they were conceived in february...(VALENTINES DAY) ;2
"Mooreder When Michael Moore picks up your cause, then wrecks you. ""He so called out the DNC! It was mooreder I tells ya!"" #UsefulNewVerbs ";0
"FACT: there is NO online gun ""loophole"". READ>> #2A #NRA #PJNET #tgdn #tcot #teaparty ";1
I liked a @user video from @user Persona 5 - E3 Gameplay Analysis ;2
Donald Trump does not have a clue about global warming. Maybe the Rockefeller's can clue them in about fossil fuels. ;0
The latest Bare Thoughts that matter!! Thanks to @user @user @user #nodapl #nbawards ;1
Our #MannequinChallenge it's only 10 secs tho 😂😂😂 ;2
#TV #Bullshit They are saying #Brexit was not about Closing borders and leaving the single market?? FUNNY THAT ?? STOP BULLSHITING US ;0
Many rightists say a person is reacting emotionally when a person is trying to engage. ;1
Yeah where's season 2 gonna go? Incredible season finale yo #WestWorld ;2
“Pharmaceutical companies are being affected by these lower numbers in so many states across the country.” ;0
Possible lawsuit amid new Texas rules over fetal remains ;1
Bob Dylan is the greatest. ;2
"@user By this logic, we shouldn't have lifted embargo on Cuba b/c it was ""long standing policy."" ";0
Anyone else praying the recount shows an error in voting in PA, WI, MI and they flip for Hillary??? #StillWithHer ;1
So is @user gonna sing the #BeautyAndTheBeast theme song? Cos I mean it'd be really great if she did. It'd be perfect, actually... ;2
Nope. But it may not matter as Dems tend to be invertebrates & it pains me to say this. Lame duck session should be… ;0
One Of Us Cannot Be Wrong | Leonard Cohen ;1
I liked a @user video Adrian Younge and Ali Shaheed Muhammad (feat. Method Man) – Bulletproof Love ;2
@user Donald Trump needs this idiot for his nomination to his cabinet what a joke ;0
Syria army takes new Aleppo district: monitorhttps://t.co/AEKBmmX9Y1#Aleppo #Syria #SyrianArmy ;1
Powerful words on sport and life. Full transcript of Tony Romo's statement: ;2
@user @user Nazi philosophy defined: Breathtaking douchebag stuff. Also, a form of Socialism ;0
@user ....they haven't read about his history with that wall in Scotland or his shabby business deals.#deplorables bought a lemon ;1
Watching #BETPresents Love & Happiness an Obama Celebration brings tears 2 my eyes @user u led this country w/#dignity&grace #ThankYouObama ;2
Kim fatty the third of north korea is the worst dictator that keeps hereditary communist dynasty in the world ;0
#Syria #Hezbollah Nasrallah's bodyguard identified in #Aleppo ;1
Finally watching Scream Queens episode 5 after what feels like forever!! #ScreamQueens ;2
Just in: Trump advisor Steve Bannon wants Black Friday banned. Shopping day doesn't fit Alt-Right color scheme. ;0
@user @user It all comes together if electors go with the popular vote. Dun dun DUNNNN! ;1
Exotic Fashion News Journal is out! Managing Editor, Riley Rose McKesson, @user #beautyandthebeast ;2
Prof, what do you humanly think when prices of stuffs skyrocketed leaving behind the country's minimum wage? Corruption is imminent. @user ;0
UK Govt reject criticism on Libya saying its involvement saved lives-... wishing UK to enjoy post Gadafi Libya fate. #UK #libya ;1
Happy Black Friday everybody! @user #thewalkingdead #walkers #zombies #blackfriday… ;2
The phoenix cried fat tears of pearlWhen the dragon snapped up his best girl 🎶 @user #FantasticBeasts #FBNewthttps://t.co/4g5lyjV9S3 ;0
Bob Dylan sings his 5th biggest hit, Knockin' On Heaven's Door live on MTV's Unplugged in 1995 - ;1
🤔🤔🤔 younger is better!!! #toyboy #onedirection ;2
@user Not surprised. People hate being duped. Truth is brutal. Putin manipulated. FBI Comey reinforced the myth Putin created. ;0
@user Corby - he was all for building a wall on the Mexican border, denying Muslims entry to the US, and against BLM. ;1
"Google Earth in VR is a ""profound, almost emotional"" experience. Many people are calling it the best thing they've experienced in VR. ";2
Exactly right and the problem. #Hamas and the #PA both PROMOTE the idea of their people dying to fuel their war. ;0
Don't worry, there's enough fossil fuels to go around along with your fossil (outdated) views - we won't have to us… ;1
ashley graham is so pretty ;2
I'm not going to sack Tony romo but I will sack dak ;0
Some NBA team is going to waste a 1st round pick on Grayson Allen. I'm guessing the Suns ;1
Fuel efficiency of vehicles improving rapidly, reducing pollution, hurting fossil fuel industry.#ThankYouObama ;2
*me not prepared to give a speech on medical marijuana*: hey professor can I just teach y'all how to roll a blunt for the next 7 minutes ;0
So who's next? Maduro? A little young, perhaps, but it is Venezuela.... ;1
Taking hella left overs for my break today thanksgiving pt.2 mf . ;2
@user You need to resign -- your immigration case is a big lie -- you're a hater and a bigot -- voter suppression is voter fraud ;0
@user where did you get the fact that there is infighting in the Trump transition team over SofS? @user ;1
"if you wanna feel a lil better about the state of the world and maybe crack a smile watch Michael Moore's ""Where To Invade Next"" ";2
@user @user @user @user Too bad #MH17 truth comes free. I know how that really bugs piss out of you paid #Kremlintrolls ;0
". @user was ""the first U.S. officer ever allowed inside the headquarters of the GRU."" (Russian military intelli… ";1
Saw a Tesla Model S and X today. They were awesome. Definitely getting one when I hit 3M subs like @user lol ;2
@user @user sir serious concern must take to avoid fossil fuels solar cars and so on must come to india jai hind. ;0
@user Nah, she's cool. Repeal won't kick in before summer, when she's old enough for Medicare. Oh, wait... ;1
Oh my god that Thanksgiving #ThisIsUs episode had me in tears 😭😭😭 ;2
Uno wen u finally get over the fact u were in Tipp for 8 wks on placement and then get an email to say u'll be in Kilkenny for another 8 wks ;0
"@user ""Ask TIm Duncan about us."" #DropsMic #BBN ";1
There's this Jaguar ad that keeps coming up on my tl and every time i see it i think of a tesla model s ;2
It could all be true and @user  @user Drone strikes & flying around on Air Force 1 has caused it! ;0
Hazy Days Ahead? What We Don't Know About Florida's New Medical Marijuana Law - Above the Law… ;1
Bearakeet, Burtle, Draggle, Penguala for sale! DM me before they are all gone! #Hatchimals #hatchimal #blackfriday… ;2
Don't want to be unsporting, but this man as POTUS? It's terrifying. Wait til he calls Kim Jong-Un a loser. ;0
The gov't quietly just approved this enormous oil pipeline #NoDakotaAccess #NoDAPL ;1
Ashley Graham, Tami Roman + More Reveal Which Diva They're Most Excited To See ;2
List of people I'd love to punch in the mouth:1. Grayson Allen2. Josh Norman3. Josh Norman again ;0
"Quote of the year:""Hello"" - Melania Trump ";1
"I love Antoine Walker, ""Ask Tim Duncan about us!"" ";2
I hate it when conservatives recreate churches. ;0
Pelosi sends 3rd letter to House Ds ahead of 11/30 elections on leadership team including Lujan back at DCCC Chairhttps://t.co/1VDt7sPBDR ;1
Something to fight for: Schumer, Pelosi throw down the gauntlet on @user plan to privatize, voucherize Med… ;2
"@user ""As conservatives, we also care about your sexuality though"". ";0
Killer Robots and Rebel Wieners: Did Hollywood’s Working-Class Revolt Fantasies Fuel Trump’s Rise? ;1
$15 minimum wage is a win-win. If businesses continue to boom, it's a win. Or, if it puts @user out of b… ;2
The radical left positioned Trump as a Nazi when they themselves r deeply anti Semitic and their riots are mini Intifadas. Keith Ellison. ;0
Pete BurnsDavid BowieLeonard CohenAlexis ArquetteGene WilderChristina GrimmiePrinceChynaBig AngFlo Henderson etc.RIP 2016 ;1
How I feel after post #Thanksgiving headed to #BlackFriday looking for deals and doing my #cardio on... #Doyoueven?… ;2
@user you shut your mouth Grayson Allen is a saint ;0
Cynthia Mckinney: AIPAC total control of US Gov't  #aipac #lobby #israel #palestine #BDS ;1
#friday #itsfriday #blackfriday #dayafterthanksgiving hope everyone has a wonderful thanksgiving… ;2
@user Melania Trump isn't a public figure. She's a spouse who is being mocked for a speech she didn't write. Just sayin'. ;0
BREAKING Fox NEWS: (WTF) President OBAMA at fault for ANTI TRUMP riots ;1
77%OFF: Really working in LIVE trade! 💰Fully automated Forex trading Systems/Robots/Signa… ;2
Israeli brutality immune to Palestinian calls for justice: #gaza #palestine #israel #jerusalem ;0
Wait nvm David Ross is on it for some reason and I'm not sure if that's Verlander or someone else ;1
@user @user @user #Israel #Jerusalem SHABBAT SHALOM & BLESSINGS EVERYONE!!! ;2
Full Gallery: Mac - Learning to deep throat ;0
Discussing Catholic Faith and Pope Francis Live On Radio... #catholic ;1
Picture | That time I took a photo of Zac Efron taking a photo of Zac Efron. Efronception. | ;2
When you wake up sick asf after getting to turnt on thanksgiving 🦃🔪 ;0
"‣ Chomsky and Hillary  | ""Why are some leftists acting that Hillary was some great..."" | | #AngryArab ";1
Good enough for me. He told her to concede. And I thought. That is rushing it a bit. Same with Gore. Dems have to g… ;2
Really?! #MelaniaTrump and #BarronTrump won't be moving to the #WhiteHouse come January: ;0
Saakashvili’s Resignation: Start of Ukrainian Parliamentary... via @user ;1
"@user Darlena; I loved your piece 'deplorables' .  It made me feel great about Trump.☺ ";2
Hey Liberals. I'm going to ask for a recount and try get Hillary into the presidency. You can send me your money. Bank details later ;0
These gas stations need to have some #blackfriday prices for #uber drivers #lbvs Use my link for $200 extra:… ;1
happy thanksgiving to all fellow native americans @user ;2
by putting it on your face, you're condoning animal testing and animal ingredients in make up!! ;0
Social science in action, case study: Oregon voting. Opt-out, not opt-in, to achieve high rates of participation. ;1
#Spurs #GoSpursGo SAN ANTONIO SPURS #Card LOT TIM DUNCAN DAVID ROBINSON MANU GINOBILI AVERY JOHNSON #TimDuncan #NBA ;2
Well - we shld be grateful for that home b/c most likely the DT admin will cut it from the budget/put them on the s… ;0
129 days until the release of Persona 5 ;1
Going to see the adorable Eddie Redmayne in #FantasticBeasts tonight. Happy Friday! ;2
📷 “Cuba sends physicians all over the world. The U.S. responds with an embargo.” Via USSR 2.0 ;0
@user @user @user @user @user @user Non-availablity of child vaccines @ Jamui, Bihar hospital** ;1
@user made America Respected around the world again #thankyouObama @user @user @user @user @user ;2
The #Trump cabinet is an utter disaster. Full of cronies and swamp dwellers. You #MAGA people have been taken. Next… ;0
If only there had been a sign...or 60. ;1
The house is quiet, and I am sitting by the fire and watching the latest @user episode. Yes, it's the perfect morning. #ThisIsUs ;2
The shruggers are all white supremacists. ;0
@user 1. Emily 2. Michel 3.  Kirk 4. TJ. Love the quirky ones and Emily coz she's such a BIATCH! #gilmoregirlstop4 ;1
The background singers breasts are clapping along to Jesus Can Work It Out. *tears* #ThankYouObama ;2
That's the guy who now calls George Soros a Nazi ss officer from 1940 , Trumps insecurity knows no bounds GET RID O… ;0
.@calreid opens our panel of #NBAwards Young People's Literature authors. #MiamiBookFair2016 ;1
@user @user @user Yeah Grayson Allen. 17 points vs W&M ;2
"How can alt-rightists/identitarians be white ""supremacists"" if they don't think whites are supreme--the best, the greatest? ";0
The latest #NoTPP Today (https://t.co/vd7t22SVe7)! Thanks to @user @user @user #stoptpp #tpp ;1
@user It's most appealing aspect must surely be its vegetarianism ;2
This is a MAJOR FAILURE of the 4th estate. How Russia, Putin and Comey CONSPIRED with @user to steal the… ;0
At least they created electoral college to prevent less popular candidate from getting victory by popular vote with help of bigger states. ;1
Learn more about how medical marijuana eases suffering for #Arthritis : ;2
also referring to vegetarianism as a diet is so dumb, it's a lifestyle n if u 'cheat' you're not a vegetarian, don't treat it like a diet! ! ;0
@user and #TrumpTransitionTeam@JimWebbUSA for Secretary of Defense. He was right in 2002 about Iraq.https://t.co/zy07ZWX96A ;1
#Rich 15 Stunning Photos Of A Young Melania Trump ;2
The #NikkiHaley #UnitedNations appointment is political ju jitso on #Trump’s part. Rewarding his enemies with worthless positions! #tcot ;0
Match my grind 😏 ;1
"#ThankYouObama 4everything!This @user special's giving me so much happiness in this moment. Beyond that I'm a mess;anxious &already grieving! ";2
spent 3 hours watching David Blaine youtube videos, THAT GUY IS FUCKING RIDICULOUS ;0
#Yemen: hospitals being terrorised by US allied, #Saudi funded anti-Houthi forces in Ta'iz ;1
Porcello nips Verlander, Scherzer romps in Cy Young win :Auto pickup by wikyou ;2
How is it that in 2016 & with the internet existing people still think vaccines are unsafe ;0
he was struck by how similar parts of Trump's victory speech were to a speech Putin gave... last month ;1
Finally I'm gonna watch all eps that I missed #Lucifer #Supernatural #Arrow #Flash #Class #TheWalkingDead #TheBigBangTheory 😂💝 ;2
The same people who kept harping about privilege are now going on about how Great Granddad Clem was killing proto-alt rightists at Normandy ;0
First Official Image From Neighbors 2 Starring Zac Efron And Seth Rogen #ZacEfron ;1
@user just in time for the long weekend. Happy Thanksgiving from Ohio. ;2
Not sure I can take anymore. Brexit, Trump and now no more Casey and Jessica has left Eric. God is life worth living ? Tesla model S,o YES. ;0
L'Oreal wants to start 3D printing SKIN: ;1
Thankful for my fam, the slores, house3, tswift, Grayson Allen, wine, cats, and most of all cannolis ♥️♥️#happyturkeyday ;2
@user @user More massive voter suppression. The right will stop at nothing to disenfranchise black & brown voters ;0
@user @user  I don't know costs associated with security of a Pres. I do know 8 yrs of Obama admin has taken a huge toll on America. ;1
"""Robots"" (2005) is a sensitive movie (B) #ConamaraViews <oh8qpr> ";2
@user @user @user no hate in my heart! I don't like fake people hypocrites who point there finger at others to gain $ ;0
Lawmakers file bills on scholarships, medical marijuana, taxes - Arkansas News ;1
One SINGLE dose! Another marvel of Homeopathy! ;2
@user did of any good was kept Labour/Greens out for 3 years. He should have gone 4 an important rights legacy: #euthanasia ;0
This man David Blaine can finesse you out your shoes ;1
The latest Art, Music & Culture in Lawrence Kansas! #nbawards #poetry ;2
Ask who wants new stuff and stop making it. Self serve check outs? NO! Self driving cars? NO. Mass unemployment? NO. Who benefits? #auspol ;0
Also low-key wanting to look into veganism & vegetarianism? I'm feeling like trash & want to do something good for my diet and the earth. ;1
[5A274/AC349] I LOVE YOU—I MUST BE LOVE ON THE HEAD OF THE YEAR BY BOB BURTON—FIDEL CASTRO WAS—AFTER EVERYTHING—ACCEPT WHAT IS THIS PUPPY T… ;2
Nov 19????.Busted !! WIKILEAKS anti TRUMP PROTESTS SponsorS BY HILLARY AND GEORGE... ;0
To Donald Trump: National Security Memorandum Number One - - #Alternative #Matrix #Vaccines ;1
it's a bob dylan kinda night 🎧 ;2
#Liberalism #Progressives are failing worldwide from #Brexit #Trump now #Italy ;0
@user Lucky you don't have VR, then! ;1
Keep pushing! #FightFor15 #IncomeEquality #IBelieveInGini ;2
Turkey is #ISIS itself @user @user @user @user @user #BlackFridayTactics ;0
@user Exactly how many Super Bowl wins does Tony Romo have ? ;1
I liked a @user video from @user Chicago Cubs World Series Champions Highlights ;2
Get your news about the #TrumpTransitionTeam NOT from backstabbing  Commie liars at @user @user @user  Enemies of USA ;0
'Its funny how we'll sell our waking life for minimum wage, but you know, you can get your dreams for free' ;1
Opening de Ricky Martin 🎶💥@laliespos 💞 #LaliEnMexico ;2
@user @user @user I have yet to hear of any help from Obama admin. ..please post info if you have it. Thanks! ;0
I hope #TheWalkingDead writers/producers end Negan. If this is the direction of the show - I am peace out at season… ;1
@user Yes. Thank you Wikileaks for being the honest provider of facts in the 2016 election. You saved us from the TPP and Islamization ;2
"""Democrats and the faux liberals are absolutely pathetic - 90% of the media is in their pocket, even the reporters… ";0
Saakashvili passed the test for the maintenance drugs. Video - ;1
Just donated for my third time.  We just need to keep this up for one more day.  #AuditTheVote #stillwithher ;2
"@user @user her attack onTRUMP for""locker room""talk yet she takes sexy pictures she's a hypocrite What… ";0
@user You can go home now. Nothing left to tweet. ;1
After Trump Win, Parallel Path Is Seen for Marine Le Pen of France’s Far Right Glorious: Wir marchieren! ;2
'The only leaders of church who would support gay marriage is churches of Satan' Pmsl   #ItsSoTrue ;0
I am all for legalized abortion just give men the same right too. This law Sweden is considering is pretty fair. ;1
@user 's coolness @ Barcelona fans #homophobic slurs proves that he's a legend! #Bully @user ;2
Conservatives and liberals alike hate science. Y'all really do. Y'all believe in homeopathy and chiropractic but not in vaccines ;0
Obama goes to Cuba after 50+ years of embargo, LIBTARDS pat him on the back. Trump gets a congratulations from... ;1
Tyrod Taylor, Tony Romo, or Kirk Cousins would look great in a Chiefs uniform. ;2
@user she's not half as bad as the stupid cow currently narrating the trailer for #thisisus - just hear her ridiculous take #thizizuz ;0
This means they believe it to be a legitimate non-violent movement based on a concern for human rights in #Palestine. #queensu #ygk ;1
I liked a @user video from @user Anti-Trump Protests And Riots Backfire!! Students Starting To Realize ;2
"""This machine also kills wet liberals"" guitar stickers available now super black frahdi deelz myhearts not in thisreally asyouwere ";0
Trending: Hatchimal | Hatchimals #Hatchimals ;1
George Hill returns from injury to score 22 points in the @user 108-83 blowout win over Denver.… ;2
"@user @user Has anyone actually seen this gun used for ""pest control""? Animal cruelty?  Wait till you see this thing in action. ";0
I'd love your thoughts on this! ;1
That look on Putin's face shaking Obama's hand is priceless. ;2
@user Some stuff I agree with trump on. That the TPP is awful and that lobbyists are corrupt ;0
inch NET [russian #NO] President SAAKASHVILI @user attacked by @user LOST 2 provinces said #YES to @user i… ;1
#Spurs #GoSpursGo 1997 Wheels Tim Duncan RC Rookie #Card Lot #TimDuncan #NBA ;2
@user @user @user @user @user @user @user  That didn't take long-GOP=Special interest. ;0
Cosmetics makers continue shift away from animal testing：The Asahi Shimbun ;1
@user This is great news. For a Mexican effort to build a parallel wall on their side of the border too. ;2
@user  White Dems will do the SAME thing again in 2020, unless we brown people explain that all-whiteness=cold water on our enthusiasm. ;0
Couple scorched earth w/voter obstruction, suppression & gerrymandering & you have GOP policy.  They fear THE VOTE. ;1
Be the 1st to check out our new look at Pl give ur feedback. #Ayurveda #Homeopathy… ;2
@user @user @user @user I'm sure it's Coach K's fault 🤔 ;0
In terms of (exclusive) games I'd play on it, I can mostly only think of FFXV, Persona 5 (which I could play on PS3...), and... that's it? ;1
Congratulations to the 2016 #NBAwards Winners. @user @user @user #DanielBorzutzky… ;2
Blog: Obama's shameful, phony gun control rhetoric in the wake of Charleston massacre ;0
"In the media - @user ""Abortion rights ‘could be put in constitution'""https://t.co/hEXCDMcovw ";1
Start riding at this point in time with #Uber Don't wait for the coming day. ;2
@user nobody is saying to go cold turkey on fossil fuels. Just saying to expedite alternatives. Simple minded people make straw men ;0
HAHAHAHA Chanel #5 is running out of blood 😹 #ScreamQueens ;1
I think I have spent quite enough on Persona 5. ;2
why did I choose animal testing as my speech topic I am crying looking at these images 😭 ;0
Dementia and Mercury from vaccines #health #wellness #wujilife ;1
@user Thanks for following us! We appreciate you being with us, and eager to share our passion for 3D printing with you ;2
The Cuban embargo remains for many sectors, as trade grows slowly @user reports from… ;0
@user you joke was funny I thought    .Everyone took the piss out of melania trump for copying Michelle's speech . ;1
@user @user I was just thinking this the other day! ;2
fossil fuels are eventually going to run out, what are we going to use when they are depleted? ;0
Soooo when will it be Maduro's turn ? ;1
@user has been the best, I'm trying not to miss her yet. #ThankYouObama ;2
@user @user @user @user how have the obamas been anything but gracious to trump during the transition? ;0
@user divest from the Bakken Dakota Access Pipeline. #NoDAPL #IStandWithStandingRock #WaterIsLife#divestdapl ;1
Hey Colts, nice backup Quarterback, bro. S/Tony Romo #jaymohrsports ;2
But the AP notes 'Kim Fat Fat Fat' still works ;0
@user @user @user @user @user @user (My vegetarianism is hesitantly consciousness not rights-based.) ;1
#lmao 😂😂😂😂 #theface definitely me #mannequin #mannequinchallenge #goofy #stevebuscemi… ;2
@user @user - she's sounding like Pelosi, cuckoo, cuckoo, cuckoo... I wonder how much she's being paid to do this for Hillary ;0
@user unfortunately that requires a Galaxy Note 7 ;1
This is huge - #Microsoft joins the #LinuxFoundation ;2
Venezuela narcotics scandal heaps pressure on President Maduro.  Execute this drug scum! ;0
@user @user @user @user Yes. US citizens happily  employed for MINIMAL (not minimum) wage! I can see it now! ;1
I miss Tony romo, but I love what Dak is doing ;2
@user @user @user Trumped. No money for Medicare, Social Security, Public schools-only for tax cuts. Make rich richer baby! ;0
Anyone have a link to the Cubs movie that premiered on the 2nd? Yes, I have yet to watch. ;1
@user Been watching good Ole movies for a couple hours. Relaxing is good. But, Michael Moore is looking like a Lego Man. Is he? ;2
@user @user the media tried their best at a Nazi tactic, repeat a lie over and over and people will believe it, J goebbles. ;0
Tesla Model S 85, P85 & P85+ Hire/Chauffeur/Driving experience packages #TeslaMotors #ModelS #Tesla #EV ;1
New #BeautyandtheBeast Photo Has Gaston Wooing Bellehttps://t.co/3wVBbuEXnQ ;2
@user the alt right (i.e. what supremacists, fascists, nazis, racists, things, etc.) just make numbers up to feed the hate ;0
5 Incidents of How Zac Efron Is Inspirational ;1
I wanna live in a world where Vanessa Hudgens and Zac Efron get back together ;2
@user @user chipotle also doesn't pay minimum wage. if you want to form a retarded argument based on assumptions go ahead. ;0
A Cartoon from The New Yorker  via @user #TrumpTransitionTeam ;1
#onedirection #niallhoran #harrystyles #WWATour best 2 lovely dance 😊❤️ them 👍 ;2
@user just block them... like the Fresh Prince of Bel Air sang,    🎤 'no need to argue, deplorables just don't understand.' ;0
Coming Soon: Vengeance Against NLRB For Ruling Against Trump in Union Fighthttps://t.co/VslOvqX3IL#notemypresident #uniteblue ;1
3D printing at #BuzzConf. Got some 3D printed Squirtels for Jordan ;2
"...""radical acceptance"", a rigorous mental determination to meet head on the most powerful negatives in our lives... ";0
@user @user trump already broke  cuba embargo, so that part is taken care of i guess diplomacy in 140 in not good policy. ;1
"Lopetegui (coach Spain): ""For The Best FIFA Men’s Player 2016 award I have voted for Messi, Cristiano and Ramos"" #fcblive [cope] ";2
@user In a roomful of Adolfs be a Ruth #ruthgruber #nytimes #TrumpTransitionTeam #SundayMorning ;0
The Frontiers Issue with Guest Editor President Barack Obama – President Barack Obama on How We’ll Embrace… ;1
David Blaine celebrity magic on YouTube right now I am laughing ;2
@user  Putin looked miserable for rest of the day. ;0
@user @user @user @user @user 2 #donaldtrump #conflictofinterest #befirm ;1
Black people are so dope #ThankYouObama #BET ;2
@user & now @user @user and others are conveniently selling out all of Europe to China by allowing them access to Ukraine. ;0
#NowPlaying on Wicca Radio International Folly Of Fracking by Cernunnos Rising #ListenHere ;1
If @user made an appearance as Adam again I'd have to call him a God because he has so much material on #ThisIsUs  #yr #Dreams ;2
@user I need Obamacare after disability. Private insurance 7X+ higher.  Worried about buying food & emergencies. Top Ramen & dented cans. ;0
#cannabis The Associated PressAssistant cultivator Emily Errico examines cannabis plants grown by Vireo Health of … ;1
@user @user @user @user  Thanks for giving & God Bless everyone! ;2
Lol @ people who think that vaccines just suddenly cause autism ;0
Once 3D printing goes exponential the face of manufacturing will change more dramatically than most people realise. ;1
As of last night I am a proud owner of a #Niffler #FantasticBeasts 😀😀😀😀🤗🤗🤗🤗 ;2
If Tony Romo played for a team other than Dallas, he wouldn't receive anywhere near the same kind of media slurpage ;0
@user oh yeah your elite rotation of Verlander David price and Scherzer was supposed to lead you guys to the promise land ;1
The #BeautyAndTheBeast trailer is finally here! So you don't miss anything, read our in-depth analysis!https://t.co/fxmYUbv9LG ;2
@user YOURE SO FULL OF YOURSELF! YOU KNOW U NEVER RECEIVED ANY THREATS FROM TRUMP OR HIS SUPPORTERS! MAYBE TH… ;0
Urge @user to allow aid airdrops to #Aleppo to help save thousands from starvation: ;1
@user @user @user We must unite & fight to prevent changes to Medicare & Social Security. These are good programs! ;2
Flashback #ObamaShutDown: Dems reject GOP proposal, would cut 75% Obamacare subsidy for Congress  #UniteBlue #PJNet ;0
Weird to see @user Sidney Crosby with the Cy Young bid going this year. 14 goals only 5 assists. Averaging goal a game. Yeah. #Pens #NHL ;1
